ICPSR STUDY NUMBER-9252	ICPSR STUDY NUMBER-9252		1-4	4
ICPSR EDITION NUMBER-1	ICPSR EDITION NUMBER-1		1	1
ICPSR PART NUMBER 1-2-3	ICPSR PART NUMBER 1-2-3		1	1
ICPSR SEQ ID NUMBER	ICPSR SEQ ID NUMBER		7-10	4
FIPS STATE CODE	FIPS STATE CODE		11-12	2
FIPS COUNTY CODE	FIPS COUNTY CODE		13-15	3
POPULATION	POPULATION		16-22	7
GRAND TOTAL	GRAND TOTAL		23-29	7
PART 1 TOTAL	PART 1 TOTAL		30-35	6
VIOLENT CRIMES	VIOLENT CRIMES		36-40	5
PROPERTY CRIMES	PROPERTY CRIMES		41-45	5
RAPES	RAPES		46-49	4
ROBBERIES	ROBBERIES		50-53	4
AGGRAVATED ASSAULTS	AGGRAVATED ASSAULTS		54-58	5
BURGLARIES	BURGLARIES		59-63	5
LARCENIES	LARCENIES		64-68	5
AUTO THEFTS	AUTO THEFTS		69-73	5
MURDERS	MURDERS		74-78	5
ARSONS	ARSONS		79-82	4
OTHER ASSAULTS	OTHER ASSAULTS		83-87	5
FORGERY/COUNTERFEITING	FORGERY/COUNTERFEITING		88-91	4
FRAUD	FRAUD		92-96	5
EMBEZZLEMENT	EMBEZZLEMENT		97-99	3
HAVE STOLEN PROPERTY	HAVE STOLEN PROPERTY		100-104	5
VANDALISM	VANDALISM		105-109	5
WEAPONS VIOLATIONS	WEAPONS VIOLATIONS		110-114	5
PROSTITUTION/COMM VICE	PROSTITUTION/COMM VICE		115-119	5
SEX OFFENSES	SEX OFFENSES		120-124	5
DRUG ABUSE VIOL. TOTAL	DRUG ABUSE VIOL. TOTAL		125-130	6
DRUG ABUSE SALE/MANUFAC	DRUG ABUSE SALE/MANUFAC		131-135	5
OPIUM/COCAINE SALE/MANUF	OPIUM/COCAINE SALE/MANUF		136-140	5
MARIJUANA SALE/MANUF	MARIJUANA SALE/MANUF		141-145	5
SYNTHETIC DRUG SALE/MANU	SYNTHETIC DRUG SALE/MANU		146-148	3
OTHER:DANG NON-NARCOTICS	OTHER:DANG NON-NARCOTICS		149-152	4
DRUG POSSESSION SUBTOTAL	DRUG POSSESSION SUBTOTAL		153-157	5
OPIUM/COCAINE POSSESSION	OPIUM/COCAINE POSSESSION		158-162	5
MARIJUANA POSSESSION	MARIJUANA POSSESSION		163-167	5
SYNTH NARCOTICS POSSESSN	SYNTH NARCOTICS POSSESSN		168-170	3
DRUG POSSESSION: OTHER	DRUG POSSESSION: OTHER		171-175	5
GAMBLING: TOTAL	GAMBLING: TOTAL		176-179	4
BOOKMAKING (HORSE-SPORT)	BOOKMAKING (HORSE-SPORT)		180-183	4
NUMBERS & LOTTERY	NUMBERS & LOTTERY		184-187	4
