ICPSR STUDY NUMBER	ICPSR STUDY NUMBER		1-4	4
ICPSR EDITION NUMBER	ICPSR EDITION NUMBER		5	1
ICPSR PART NUMBER	ICPSR PART NUMBER		6-7	2
ICPSR SEQUENCE NUMBER	ICPSR SEQUENCE NUMBER		8-11	4
STATE CODE	STATE CODE		12-13	2
COUNTY CODE	COUNTY CODE		14-16	3
POPULATION	POPULATION		17-23	7
GRAND TOTAL	GRAND TOTAL		24-30	7
PART 1 TOTAL	PART 1 TOTAL		31-36	6
VIOLENT CRIMES	VIOLENT CRIMES		37-41	5
PROPERTY CRIMES	PROPERTY CRIMES		42-46	5
MURDER	MURDER		47-50	4
RAPE	RAPE		51-54	4
ROBBERY	ROBBERY		55-59	5
ASSAULT	ASSAULT		60-64	5
BURGLARY	BURGLARY		65-69	5
LARCENY	LARCENY		70-74	5
VEHICLE THEFT	VEHICLE THEFT		75-79	5
ARSON	ARSON		80-83	4
ICPSR STUDY NUMBER	ICPSR STUDY NUMBER		1-4	4
ICPSR EDITION NUMBER	ICPSR EDITION NUMBER		5	1
ICPSR PART NUMBER	ICPSR PART NUMBER		6-7	2
ICPSR SEQUENCE NUMBER	ICPSR SEQUENCE NUMBER		8-11	4
STATE CODE	STATE CODE		12-13	2
COUNTY CODE	COUNTY CODE		14-16	3
POPULATION	POPULATION		17-23	7
INDEX	INDEX		24-30	7
MODIFIED INDEX	MODIFIED INDEX		31-37	7
MURDER	MURDER		38-41	4
RAPE	RAPE		42-46	5
ASSAULT	ASSAULT		47-52	6
BURGLARY	BURGLARY		53-57	5
LARCENY	LARCENY		58-63	6
VEHICLE THEFT	VEHICLE THEFT		64-69	6
ARSON	ARSON		70-75	6
			76-80	5
