"ICPSR STUDY NUMBER"	"ICPSR STUDY NUMBER"		"1-4"	4	"1,3,5,7,9,11,13"
"ICPSR EDITION NUMBER"	"ICPSR EDITION NUMBER"		5	1	"1,3,5,7,9,11,13"
"ICPSR PART NUMBER"	"ICPSR PART NUMBER"		"6-7"	2	"1,3,5,7,9,11,13"
"ICPSR SEQUENCE NUMBER"	"ICPSR SEQUENCE NUMBER"		"8-11"	4	"1,3,5,7,9,11,13"
"STATE CODE"	"STATE CODE"		"12-13"	2	"1,3,5,7,9,11,13"
"COUNTY CODE"	"COUNTY CODE"		"14-16"	3	"1,3,5,7,9,11,13"
"POPULATION"	"POPULATION"		"17-23"	7	"1,3,5,7,9,11,13"
"GRAND TOTAL"	"GRAND TOTAL"		"24-30"	7	"1,3,5,7,9,11,13"
"PART 1 TOTAL"	"PART 1 TOTAL"		"31-36"	6	"1,3,5,7,9,11,13"
"VIOLENT CRIMES"	"VIOLENT CRIMES"		"37-41"	5	"1,3,5,7,9,11,13"
"PROPERTY CRIMES"	"PROPERTY CRIMES"		"42-46"	5	"1,3,5,7,9,11,13"
"MURDER"	"MURDER"		"47-50"	4	"1,3,5,7,9,11,13"
"RAPE"	"RAPE"		"51-54"	4	"1,3,5,7,9,11,13"
"ROBBERY"	"ROBBERY"		"55-59"	5	"1,3,5,7,9,11,13"
"ASSAULT"	"ASSAULT"		"60-64"	5	"1,3,5,7,9,11,13"
"BURGLARY"	"BURGLARY"		"65-69"	5	"1,3,5,7,9,11,13"
"LARCENY"	"LARCENY"		"70-74"	5	"1,3,5,7,9,11,13"
"VEHICLE THEFT"	"VEHICLE THEFT"		"75-79"	5	"1,3,5,7,9,11,13"
"ARSON"	"ARSON"		"80-83"	4	"1,3,5,7,9,11,13"
"ICPSR STUDY NUMBER"	"ICPSR STUDY NUMBER"		"1-4"	4	"2,4,6,8,10,12,14"
"ICPSR EDITION NUMBER"	"ICPSR EDITION NUMBER"		5	1	"2,4,6,8,10,12,14"
"ICPSR PART NUMBER"	"ICPSR PART NUMBER"		"6-7"	2	"2,4,6,8,10,12,14"
"ICPSR SEQUENCE NUMBER"	"ICPSR SEQUENCE NUMBER"		"8-11"	4	"2,4,6,8,10,12,14"
"STATE CODE"	"STATE CODE"		"12-13"	2	"2,4,6,8,10,12,14"
"COUNTY CODE"	"COUNTY CODE"		"14-16"	3	"2,4,6,8,10,12,14"
"POPULATION"	"POPULATION"		"17-23"	7	"2,4,6,8,10,12,14"
"INDEX"	"INDEX"		"24-30"	7	"2,4,6,8,10,12,14"
"MODIFIED INDEX"	"MODIFIED INDEX"		"31-37"	7	"2,4,6,8,10,12,14"
"MURDER"	"MURDER"		"38-41"	4	"2,4,6,8,10,12,14"
"RAPE"	"RAPE"		"42-46"	5	"2,4,6,8,10,12,14"
"ASSAULT"	"ASSAULT"		"47-52"	6	"2,4,6,8,10,12,14"
"BURGLARY"	"BURGLARY"		"53-57"	5	"2,4,6,8,10,12,14"
"LARCENY"	"LARCENY"		"58-63"	6	"2,4,6,8,10,12,14"
"VEHICLE THEFT"	"VEHICLE THEFT"		"64-69"	6	"2,4,6,8,10,12,14"
"ARSON"	"ARSON"		"70-75"	6	"2,4,6,8,10,12,14"
			"76-80"	5	"2,4,6,8,10,12,14"
