"ICPSR STUDY NUMBER-9335"	"ICPSR STUDY NUMBER-9335"		"1-4"	4	"1,2,3"
"ICPSR VERSION NUMBER-1"	"ICPSR VERSION NUMBER-1"		5	1	"1,2,3"
"ICPSR PART NUMBER"	"ICPSR PART NUMBER"		6	1	"1,2,3"
"ICPSR SEQUENTIAL ID"	"ICPSR SEQUENTIAL ID"		"7-10"	4	"1,2,3"
"FIPS STATE CODE"	"FIPS STATE CODE"		"11-12"	2	"1,2,3"
"FIPS COUNTY CODE"	"FIPS COUNTY CODE"		"13-15"	3	"1,2,3"
"POPULATION"	"POPULATION"		"16-22"	7	"1,2,3"
"GRAND TOTAL"	"GRAND TOTAL"		"23-28"	6	"1,2,3"
"PART 1 TOTAL"	"PART 1 TOTAL"		"29-34"	6	"1,2,3"
"VIOLENT CRIMES"	"VIOLENT CRIMES"		"35-39"	5	"1,2,3"
"PROPERTY CRIMES"	"PROPERTY CRIMES"		"40-44"	5	"1,2,3"
"MURDERS"	"MURDERS"		"45-48"	4	"1,2,3"
"RAPES"	"RAPES"		"49-52"	4	"1,2,3"
"ROBBERIES"	"ROBBERIES"		"53-57"	5	"1,2,3"
"AGGRAVATED ASSAULTS"	"AGGRAVATED ASSAULTS"		"58-62"	5	"1,2,3"
"BURGLARIES"	"BURGLARIES"		"63-67"	5	"1,2,3"
"LARCENIES"	"LARCENIES"		"68-72"	5	"1,2,3"
"AUTO THEFTS"	"AUTO THEFTS"		"73-77"	5	"1,2,3"
"ARSONS"	"ARSONS"		"78-80"	3	"1,2,3"
"OTHER ASSAULTS"	"OTHER ASSAULTS"		"81-85"	5	"1,2,3"
"FORGERY/COUNTERFEITING"	"FORGERY/COUNTERFEITING"		"86-89"	4	"1,2,3"
"FRAUD"	"FRAUD"		"90-93"	4	"1,2,3"
"EMBEZZLEMENT"	"EMBEZZLEMENT"		"94-96"	3	"1,2,3"
"HAVE STOLEN PROPERTY"	"HAVE STOLEN PROPERTY"		"97-100"	4	"1,2,3"
"VANDALISM"	"VANDALISM"		"101-105"	5	"1,2,3"
"WEAPONS VIOLATIONS"	"WEAPONS VIOLATIONS"		"106-110"	5	"1,2,3"
"PROSTITUTION/COMM VICE"	"PROSTITUTION/COMM VICE"		"111-115"	5	"1,2,3"
"SEX OFFENSES"	"SEX OFFENSES"		"116-119"	4	"1,2,3"
"DRUG ABUSE VIOL. TOTAL"	"DRUG ABUSE VIOL. TOTAL"		"120-124"	5	"1,2,3"
"DRUG ABUSE SALE/MANUFAC"	"DRUG ABUSE SALE/MANUFAC"		"125-129"	5	"1,2,3"
"OPIUM/COCAINE SALE/MANUF"	"OPIUM/COCAINE SALE/MANUF"		"130-134"	5	"1,2,3"
"MARIJUANA SALE/MANUF"	"MARIJUANA SALE/MANUF"		"135-138"	4	"1,2,3"
"SYNTHETIC DRUG SALE/MANU"	"SYNTHETIC DRUG SALE/MANU"		"139-141"	3	"1,2,3"
"OTHER:DANG NON-NARCOTICS"	"OTHER:DANG NON-NARCOTICS"		"142-146"	5	"1,2,3"
"DRUG POSSESSION SUBTOTAL"	"DRUG POSSESSION SUBTOTAL"		"147-151"	5	"1,2,3"
"OPIUM/COCAINE POSSESSION"	"OPIUM/COCAINE POSSESSION"		"152-156"	5	"1,2,3"
"MARIJUANA POSSESSION"	"MARIJUANA POSSESSION"		"157-161"	5	"1,2,3"
"SYNTH NARCOTICS POSSESSN"	"SYNTH NARCOTICS POSSESSN"		"162-164"	3	"1,2,3"
"DRUG POSSESSION: OTHER"	"DRUG POSSESSION: OTHER"		"165-168"	4	"1,2,3"
"GAMBLING: TOTAL"	"GAMBLING: TOTAL"		"169-172"	4	"1,2,3"
"BOOKMAKING (HORSE-SPORT)"	"BOOKMAKING (HORSE-SPORT)"		"173-175"	3	"1,2,3"
"NUMBERS & LOTTERY"	"NUMBERS & LOTTERY"		"176-178"	3	"1,2,3"
"GAMBLING: ALL OTHER"	"GAMBLING: ALL OTHER"		"179-182"	4	"1,2,3"
"OFFEN AGAINST FAM & CHIL"	"OFFEN AGAINST FAM & CHIL"		"183-186"	4	"1,2,3"
"DRIVING UNDER INFLUENCE"	"DRIVING UNDER INFLUENCE"		"187-192"	6	"1,2,3"
"LIQUOR LAW VIOLATIONS"	"LIQUOR LAW VIOLATIONS"		"193-197"	5	"1,2,3"
"DRUNKENNESS"	"DRUNKENNESS"		"198-202"	5	"1,2,3"
"DISORDERLY CONDUCT"	"DISORDERLY CONDUCT"		"203-207"	5	"1,2,3"
"VAGRANCY"	"VAGRANCY"		"208-212"	5	"1,2,3"
"ALL OTH OFFS EX TRAFFIC"	"ALL OTH OFFS EX TRAFFIC"		"213-217"	5	"1,2,3"
"SUSPICION"	"SUSPICION"		"218-221"	4	"1,2,3"
"CURFEW, LOITERING LAWS"	"CURFEW, LOITERING LAWS"		"222-226"	5	"1,2,3"
"RUN-AWAYS (JUVENILES)"	"RUN-AWAYS (JUVENILES)"		"227-230"	4	"1,2,3"
"ICPSR STUDY NUMBER-9335"	"ICPSR STUDY NUMBER-9335"		"1-4"	4	4
"ICPSR VERSION NUMBER-1"	"ICPSR VERSION NUMBER-1"		5	1	4
"ICPSR PART NUMBER"	"ICPSR PART NUMBER"		6	1	4
"ICPSR SEQUENTIAL ID"	"ICPSR SEQUENTIAL ID"		"7-10"	4	4
"FIPS STATE CODE"	"FIPS STATE CODE"		"11-12"	2	4
"FIPS COUNTY CODE"	"FIPS COUNTY CODE"		"13-15"	3	4
"POPULATION"	"POPULATION"		"16-22"	7	4
"INDEX"	"INDEX"		"23-28"	6	4
"MODIFIED INDEX"	"MODIFIED INDEX"		"29-34"	6	4
"MURDERS"	"MURDERS"		"35-38"	4	4
"FORCIBLE RAPES"	"FORCIBLE RAPES"		"39-42"	4	4
"ROBBERIES"	"ROBBERIES"		"43-47"	5	4
"AGGRAVATED ASSAULTS"	"AGGRAVATED ASSAULTS"		"48-52"	5	4
"BURGLARIES"	"BURGLARIES"		"53-58"	6	4
"LARCENIES"	"LARCENIES"		"59-64"	6	4
"MOTOR VEHICLE THEFTS"	"MOTOR VEHICLE THEFTS"		"65-70"	6	4
"ARSONS"	"ARSONS"		"71-74"	4	4
